iter	Passed	Remaining
0	163	163727
1	167	83360
2	170	56698
3	173	43089
4	175	34987
5	178	29599
6	181	25777
7	184	22886
8	186	20543
9	188	18638
10	189	17073
11	192	15820
12	194	14743
13	195	13776
14	197	12953
15	199	12285
16	201	11635
17	202	11046
18	203	10517
19	204	10042
20	206	9616
21	207	9238
22	209	8887
23	210	8568
24	212	8270
25	213	8015
26	215	7759
27	216	7514
28	217	7283
29	218	7068
30	219	6866
31	220	6677
32	221	6499
33	222	6331
34	224	6176
35	225	6025
36	226	5884
37	227	5752
38	228	5636
39	230	5520
40	231	5407
41	232	5298
42	233	5192
43	234	5097
44	235	5002
45	236	4909
46	237	4821
47	238	4738
48	240	4658
49	241	4580
50	242	4507
51	243	4446
52	245	4382
53	246	4316
54	247	4252
55	248	4189
56	249	4130
57	250	4071
58	251	4014
59	252	3960
60	253	3906
61	254	3855
62	255	3806
63	256	3758
64	258	3713
65	259	3675
66	260	3633
67	261	3590
68	263	3550
69	264	3509
70	265	3470
71	266	3430
72	267	3394
73	268	3357
74	269	3322
75	270	3288
76	271	3255
77	272	3224
78	273	3193
79	275	3166
80	276	3137
81	277	3107
82	278	3071
83	279	3043
84	280	3015
85	281	2987
86	282	2960
87	283	2935
88	284	2908
89	285	2883
90	286	2858
91	287	2834
92	288	2813
93	289	2794
94	291	2772
95	292	2751
96	293	2730
97	294	2708
98	295	2687
99	296	2667
100	297	2648
101	298	2628
102	299	2609
103	300	2590
104	301	2572
105	302	2554
106	304	2540
107	305	2524
108	306	2507
109	307	2491
110	309	2475
111	310	2458
112	311	2441
113	312	2425
114	313	2410
115	314	2394
116	314	2376
117	315	2361
118	317	2347
119	318	2332
120	319	2322
121	320	2307
122	321	2293
123	322	2279
124	323	2265
125	324	2252
126	325	2237
127	326	2224
128	327	2211
129	328	2199
130	329	2186
131	330	2174
132	331	2162
133	332	2150
134	334	2141
135	335	2130
136	336	2119
137	337	2108
138	338	2097
139	339	2086
140	340	2075
141	341	2061
142	342	2050
143	343	2040
144	344	2030
145	345	2020
146	346	2010
147	347	2001
148	348	1992
149	350	1985
150	351	1976
151	352	1967
152	353	1957
153	354	1948
154	355	1939
155	356	1930
156	357	1921
157	358	1911
158	359	1903
159	360	1894
160	361	1883
161	362	1875
162	363	1868
163	365	1862
164	366	1854
165	367	1845
166	368	1838
167	369	1830
168	370	1822
169	371	1814
170	372	1806
171	373	1799
172	374	1791
173	375	1784
174	377	1777
175	378	1770
176	379	1765
177	380	1758
178	381	1751
179	383	1745
180	384	1738
181	385	1732
182	386	1726
183	387	1720
184	389	1714
185	390	1706
186	391	1700
187	392	1693
188	393	1687
189	394	1681
190	395	1676
191	396	1670
192	398	1664
193	399	1658
194	400	1651
195	401	1645
196	402	1639
197	403	1633
198	404	1627
199	405	1621
200	406	1615
201	407	1609
202	408	1604
203	410	1600
204	411	1594
205	412	1588
206	413	1582
207	414	1576
208	415	1570
209	416	1565
210	417	1559
211	418	1554
212	419	1548
213	420	1543
214	421	1537
215	422	1532
216	423	1528
217	425	1525
218	426	1520
219	427	1515
220	428	1510
221	429	1505
222	430	1500
223	431	1495
224	432	1490
225	433	1485
226	434	1480
227	435	1475
228	436	1470
229	437	1465
230	439	1461
231	440	1458
232	441	1454
233	442	1449
234	443	1444
235	444	1439
236	445	1435
237	446	1430
238	447	1426
239	449	1421
240	450	1417
241	451	1413
242	452	1408
243	453	1404
244	454	1401
245	456	1397
246	457	1393
247	458	1389
248	459	1385
249	460	1381
250	461	1377
251	462	1372
252	463	1368
253	464	1364
254	465	1361
255	466	1357
256	468	1353
257	469	1349
258	470	1347
259	471	1343
260	473	1339
261	474	1335
262	475	1331
263	476	1327
264	477	1323
265	478	1320
266	479	1316
267	480	1312
268	481	1309
269	482	1305
270	483	1301
271	485	1298
272	486	1296
273	488	1293
274	489	1289
275	490	1285
276	491	1282
277	492	1278
278	493	1275
279	494	1271
280	495	1267
281	496	1264
282	497	1260
283	498	1257
284	500	1254
285	501	1252
286	502	1248
287	503	1245
288	504	1241
289	505	1238
290	506	1234
291	507	1231
292	508	1228
293	510	1224
294	511	1221
295	512	1218
296	513	1215
297	514	1211
298	515	1209
299	517	1206
300	518	1203
301	519	1200
302	520	1197
303	521	1194
304	522	1191
305	524	1188
306	525	1185
307	526	1181
308	527	1178
309	528	1175
310	529	1172
311	530	1169
312	531	1167
313	533	1164
314	534	1161
315	535	1158
316	536	1155
317	537	1152
318	538	1149
319	539	1146
320	540	1143
321	541	1140
322	542	1137
323	543	1134
324	544	1131
325	545	1128
326	547	1126
327	548	1123
328	549	1120
329	550	1117
330	551	1114
331	552	1111
332	553	1109
333	554	1106
334	555	1103
335	556	1100
336	558	1097
337	559	1095
338	560	1092
339	561	1090
340	563	1088
341	564	1085
342	564	1082
343	565	1079
344	566	1076
345	567	1073
346	568	1070
347	569	1067
348	570	1064
349	571	1061
350	572	1058
351	573	1055
352	574	1052
353	575	1049
354	576	1047
355	577	1045
356	579	1042
357	580	1040
358	581	1037
359	582	1034
360	583	1032
361	584	1029
362	585	1026
363	586	1024
364	587	1021
365	588	1018
366	588	1015
367	589	1013
368	590	1010
369	592	1008
370	593	1006
371	594	1003
372	595	1000
373	596	998
374	597	995
375	598	992
376	599	990
377	600	987
378	601	984
379	601	982
380	602	979
381	603	976
382	604	974
383	605	971
384	606	969
385	608	967
386	609	965
387	610	962
388	611	959
389	612	957
390	613	954
391	614	952
392	614	949
393	615	947
394	616	944
395	617	942
396	618	939
397	619	937
398	620	935
399	621	932
400	622	930
401	624	928
402	625	926
403	626	923
404	627	921
405	627	918
406	628	916
407	629	913
408	630	911
409	631	908
410	632	906
411	633	904
412	634	901
413	635	899
414	636	896
415	637	894
416	638	893
417	639	890
418	640	888
419	641	886
420	642	883
421	643	881
422	644	879
423	645	876
424	646	874
425	647	872
426	648	869
427	649	867
428	650	865
429	651	863
430	652	861
431	653	859
432	654	857
433	656	855
434	656	853
435	657	850
436	658	848
437	659	846
438	660	844
439	661	841
440	662	839
441	663	837
442	664	835
443	665	833
444	666	830
445	667	828
446	668	826
447	669	824
448	670	823
449	671	821
450	672	819
451	673	817
452	674	814
453	675	812
454	676	810
455	677	808
456	678	806
457	679	804
458	680	802
459	681	800
460	682	798
461	683	796
462	684	794
463	686	792
464	687	790
465	688	788
466	688	786
467	689	784
468	690	782
469	691	779
470	692	777
471	693	775
472	694	773
473	695	771
474	696	769
475	697	767
476	698	765
477	699	763
478	700	762
479	702	760
480	703	758
481	703	756
482	705	754
483	706	752
484	707	750
485	707	748
486	708	746
487	709	744
488	710	742
489	711	740
490	712	738
491	713	736
492	714	735
493	716	733
494	717	731
495	718	729
496	718	727
497	719	725
498	720	723
499	721	721
500	722	719
501	723	717
502	724	716
503	725	714
504	726	712
505	727	710
506	728	708
507	729	706
508	731	705
509	732	703
510	733	701
511	734	699
512	735	697
513	736	695
514	737	694
515	738	692
516	738	690
517	739	688
518	740	686
519	741	684
520	742	682
521	743	681
522	744	679
523	746	677
524	747	676
525	748	674
526	749	672
527	750	670
528	751	669
529	752	667
530	753	665
531	754	663
532	755	661
533	756	660
534	757	658
535	758	656
536	759	654
537	760	652
538	761	651
539	762	649
540	763	648
541	765	646
542	766	644
543	767	643
544	768	641
545	769	639
546	770	637
547	771	636
548	772	634
549	773	632
550	774	630
551	774	628
552	776	627
553	777	625
554	778	624
555	779	622
556	780	620
557	781	619
558	782	617
559	783	615
560	784	614
561	785	612
562	786	610
563	787	609
564	788	607
565	789	605
566	790	603
567	791	602
568	793	600
569	794	599
570	795	597
571	796	595
572	797	594
573	798	592
574	799	590
575	799	588
576	800	587
577	801	585
578	802	583
579	803	582
580	804	580
581	805	578
582	806	577
583	808	575
584	809	574
585	810	572
586	811	570
587	811	568
588	812	567
589	813	565
590	814	563
591	815	562
592	816	560
593	817	558
594	818	557
595	819	555
596	820	553
597	821	552
598	822	550
599	823	549
600	824	547
601	825	545
602	826	544
603	827	542
604	828	540
605	829	539
606	830	537
607	831	535
608	832	534
609	833	532
610	834	531
611	835	529
612	836	527
613	837	526
614	838	525
615	839	523
616	840	521
617	842	520
618	843	519
619	844	517
620	845	516
621	847	514
622	848	513
623	849	511
624	850	510
625	851	508
626	852	507
627	853	505
628	854	504
629	855	502
630	856	501
631	858	499
632	859	498
633	860	496
634	861	495
635	863	493
636	864	492
637	865	490
638	866	489
639	867	487
640	868	486
641	869	484
642	870	483
643	871	481
644	872	480
645	873	478
646	874	477
647	876	475
648	877	474
649	879	473
650	880	471
651	881	470
652	882	468
653	883	467
654	884	465
655	885	464
656	885	462
657	886	460
658	887	459
659	888	457
660	889	456
661	890	454
662	892	453
663	893	452
664	894	450
665	895	449
666	896	447
667	897	446
668	898	444
669	899	443
670	900	441
671	901	439
672	902	438
673	903	436
674	904	435
675	905	433
676	906	432
677	907	431
678	909	429
679	910	428
680	911	426
681	912	425
682	912	423
683	913	422
684	914	420
685	915	419
686	916	417
687	917	416
688	918	414
689	919	413
690	920	411
691	921	410
692	922	408
693	924	407
694	925	406
695	926	404
696	927	403
697	928	401
698	928	400
699	929	398
700	930	397
701	931	395
702	932	394
703	933	392
704	934	391
705	935	389
706	936	388
707	938	387
708	939	385
709	940	384
710	941	382
711	942	381
712	943	379
713	944	378
714	945	376
715	946	375
716	947	373
717	948	372
718	949	370
719	950	369
720	950	367
721	952	366
722	953	365
723	954	363
724	955	362
725	956	360
726	957	359
727	958	358
728	959	356
729	960	355
730	961	353
731	961	352
732	962	350
733	963	349
734	964	347
735	965	346
736	966	344
737	967	343
738	969	342
739	970	341
740	971	339
741	972	338
742	973	336
743	974	335
744	975	333
745	976	332
746	977	331
747	978	329
748	979	328
749	980	326
750	981	325
751	982	323
752	983	322
753	984	321
754	985	319
755	986	318
756	987	317
757	988	315
758	989	314
759	990	312
760	991	311
761	992	310
762	993	308
763	994	307
764	995	305
765	996	304
766	997	303
767	998	301
768	1000	300
769	1001	299
770	1002	297
771	1003	296
772	1004	294
773	1004	293
774	1005	292
775	1006	290
776	1007	289
777	1008	287
778	1009	286
779	1010	285
780	1011	283
781	1012	282
782	1013	280
783	1014	279
784	1016	278
785	1016	276
786	1017	275
787	1018	274
788	1019	272
789	1020	271
790	1021	269
791	1022	268
792	1023	267
793	1024	265
794	1025	264
795	1026	263
796	1027	261
797	1028	260
798	1029	258
799	1030	257
800	1031	256
801	1032	254
802	1033	253
803	1034	252
804	1035	250
805	1036	249
806	1037	248
807	1038	246
808	1039	245
809	1040	243
810	1040	242
811	1041	241
812	1042	239
813	1043	238
814	1045	237
815	1046	235
816	1047	234
817	1048	233
818	1049	231
819	1050	230
820	1051	229
821	1052	227
822	1053	226
823	1053	225
824	1054	223
825	1055	222
826	1056	221
827	1057	219
828	1058	218
829	1059	217
830	1061	215
831	1062	214
832	1063	213
833	1064	211
834	1065	210
835	1066	209
836	1067	207
837	1068	206
838	1069	205
839	1070	203
840	1071	202
841	1072	201
842	1073	199
843	1074	198
844	1075	197
845	1076	195
846	1077	194
847	1078	193
848	1079	192
849	1080	190
850	1081	189
851	1082	188
852	1083	186
853	1084	185
854	1085	184
855	1086	182
856	1087	181
857	1088	180
858	1089	178
859	1090	177
860	1091	176
861	1092	174
862	1093	173
863	1094	172
864	1095	170
865	1096	169
866	1097	168
867	1098	167
868	1099	165
869	1100	164
870	1100	163
871	1101	161
872	1102	160
873	1103	159
874	1104	157
875	1105	156
876	1107	155
877	1108	154
878	1109	152
879	1110	151
880	1111	150
881	1112	148
882	1112	147
883	1113	146
884	1114	144
885	1115	143
886	1116	142
887	1117	140
888	1118	139
889	1119	138
890	1120	137
891	1121	135
892	1123	134
893	1124	133
894	1125	132
895	1126	130
896	1127	129
897	1128	128
898	1128	126
899	1129	125
900	1130	124
901	1131	122
902	1132	121
903	1133	120
904	1134	119
905	1135	117
906	1136	116
907	1138	115
908	1139	114
909	1140	112
910	1141	111
911	1142	110
912	1142	108
913	1143	107
914	1144	106
915	1145	105
916	1146	103
917	1147	102
918	1148	101
919	1149	99
920	1150	98
921	1151	97
922	1152	96
923	1154	94
924	1155	93
925	1156	92
926	1157	91
927	1158	89
928	1159	88
929	1160	87
930	1161	86
931	1162	84
932	1163	83
933	1164	82
934	1164	80
935	1165	79
936	1166	78
937	1167	77
938	1169	75
939	1170	74
940	1171	73
941	1172	72
942	1172	70
943	1174	69
944	1175	68
945	1176	67
946	1177	65
947	1178	64
948	1179	63
949	1180	62
950	1180	60
951	1181	59
952	1182	58
953	1184	57
954	1185	55
955	1186	54
956	1187	53
957	1188	52
958	1189	50
959	1190	49
960	1191	48
961	1192	47
962	1192	45
963	1193	44
964	1194	43
965	1195	42
966	1196	40
967	1197	39
968	1198	38
969	1200	37
970	1201	35
971	1202	34
972	1203	33
973	1203	32
974	1204	30
975	1205	29
976	1206	28
977	1207	27
978	1208	25
979	1209	24
980	1210	23
981	1211	22
982	1212	20
983	1213	19
984	1214	18
985	1216	17
986	1217	16
987	1217	14
988	1218	13
989	1219	12
990	1220	11
991	1221	9
992	1222	8
993	1223	7
994	1224	6
995	1225	4
996	1226	3
997	1227	2
998	1228	1
999	1230	0
